i,discounted
594,1.30891
595,2.4832
596,0
597,1.01452
598,0.969893
599,1.30322
600,1.46843
601,2.16247
602,0
603,1.19842
604,0
605,1.15042
606,2.44503
607,0.247682
608,0
609,0
610,0.971166
611,0.0850129
612,0
613,5.04429
614,0.501205
615,0.204813
616,1.67488
617,2.96546
618,3.37125
619,1.33908
620,0.0741747
621,0
622,0
623,0
624,2.49372
625,0
626,0
627,2.9548
628,0.0429254
629,0
630,1.34509
631,1.08565
632,0
633,0.148567
634,2.30477
635,0.398372
636,1.13975
637,0
638,0
639,0.0720018
640,0
641,0.620727
642,0.911646
643,0.374115
644,0
645,0
646,0
647,3.14445
648,0
649,0.983699
650,0
651,1.56656
652,0
653,1.9915
654,0
655,0.997684
656,0.370224
657,0
658,0
659,1.0349
660,2.91419
661,0.81426
662,0.0713553
663,1.75217
664,0
665,0.179461
666,1.34443
667,1.33515
668,0.937788
669,0
670,2.08331
671,2.10453
672,0
673,1.78472
674,0
675,0
676,0
677,0
678,1.98218
679,0.270214
680,2.14464
681,1.03157
682,0
683,1.62459
684,0
685,0
686,0
687,0
688,2.18424
689,1.33258
690,0.636738
691,0
692,1.33699
693,2.475
694,1.02119
695,0
696,0
697,0
698,0
699,2.23677
700,0
701,1.42319
702,1.72307
703,2.35118
704,0.072926
705,1.42339
706,0
707,0
708,0
709,3.23935
710,0.676321
711,3.50129
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,4.36982
720,0
721,3.38964
722,0
723,1.02578
724,0
725,0
726,0
727,0
728,0.176351
729,2.00324
730,0
731,0
732,0.830082
733,2.11118
734,1.18081
735,3.06829
736,0
737,6.176
738,0
739,0
740,0
741,0.241812
742,0
743,0.14786
744,0.815709
745,0
746,0
747,0
748,0
749,1.34286
750,0
751,0
752,0.419546
753,0
754,0.0538399
755,1.63045
756,5.01997
757,1.8943
758,1.28825
759,0.900631
760,0
761,0.340083
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,1.32056
772,0
773,2.83457
774,2.90834
775,0
776,0.974251
777,1.64134
778,0
779,2.03453
780,0
781,0.644909
782,0.595018
783,0
784,0
785,0
786,4.03183
787,0
788,1.99813
789,0.211985
790,0.119618
791,0
792,2.41615
793,0
794,2.7201
795,0.527619
796,3.15152
797,0.356383
798,1.32328
799,1.97096
800,0
801,2.79263
802,0.122413
803,0.313117
804,0
805,0
806,1.80481
807,1.82067
808,0
809,0
810,6.39453
811,0
812,0
813,2.49609
814,1.71782
815,0
816,3.59414
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0.998417
825,0
826,0
827,1.03195
828,0
829,0
830,0.425091
831,1.78759
832,0.394419
833,5.01652
834,0.0982793
835,1.71001
836,0
837,0.0495567
838,0
839,3.69779
840,0.43839
841,1.7202
842,1.27364
843,0.170695
844,0.934721
845,2.29921
846,0
847,1.34649
848,1.51616
849,0
850,1.76828
851,0
852,0
853,0
854,0.500693
855,0
856,0
857,0.506398
858,1.28817
859,0
860,0
861,1.29594
862,1.13379
863,0
864,0.425966
865,0
866,0.865963
867,1.95518
868,0
869,3.98771
870,2.46691
871,0.287437
872,0.65767
873,2.14802
874,0
875,0
876,0.305975
877,0.72677
878,0
879,0.723513
880,4.03168
881,1.10216
882,0
883,0.925584
884,1.56901
885,0
886,0.421808
887,0
888,0
889,0
890,0.0166355
891,2.31965
892,0.405235
893,0
894,0.342152
895,0
896,2.87984
897,2.57827
898,0
899,0
900,0
901,0.462496
902,0
903,2.24605
904,0
905,0.229295
906,0
907,0
908,0
909,1.42142
910,4.75367
911,0
912,2.13056
913,0
914,0
915,0
916,1.31971
917,2.64209
918,2.58767
919,0
920,0.232688
921,0
922,0.712851
923,0
924,1.69597
925,2.44736
926,0
927,2.11479
928,1.69785
929,0.167823
930,0
931,0
932,1.24418
933,0
934,0.224832
935,0
936,1.73875
937,0
938,0.445222
939,3.34208
940,1.76867
941,0
942,0
943,1.53159
944,0
945,0.25022
946,0.950647
947,0.787851
948,0
949,0.885153
950,3.52378
951,0
952,0
953,0
954,0.810043
955,0.591074
956,2.74147
957,0
958,0.907276
959,0.520563
960,3.23015
961,0
962,0
963,0
964,0
965,0
966,2.31471
967,3.36637
968,0.443812
969,0
970,0.920068
971,0
972,0
973,0.47159
974,0
975,0.621199
976,2.05516
977,0
978,0
979,0
980,0
981,0.217696
982,0
983,0
984,0
985,0
986,0
987,0.223541
988,1.51046
989,0.860233
990,0
991,0
992,2.8553
993,2.45338
994,0
995,0.312872
996,3.16005
997,0
998,0
999,0
1000,2.67099
1001,3.44517
1002,0.608194
1003,0
1004,1.57765
1005,0
1006,0
1007,2.02097
1008,0
1009,3.64779
1010,3.25915
1011,0
1012,1.65375
1013,0
1014,0.569714
1015,0
1016,0.992959
1017,0
1018,0.0675716
1019,1.71899
1020,0
1021,1.32112
1022,0
1023,0.205327
1024,0
1025,1.91366
1026,0
1027,3.30642
1028,0
1029,0
1030,0
1031,0
1032,0
1033,5.63102
1034,0
1035,1.63168
1036,0.606282
1037,0
1038,0
1039,1.14785
1040,0
1041,2.64664
1042,0
1043,1.11805
1044,0
1045,0
1046,0
1047,0.54512
1048,0
1049,3.65477
1050,0.144346
1051,0
1052,0
1053,1.50133
1054,0
1055,1.56586
1056,2.29156
1057,1.27262
1058,0
1059,0.713611
1060,0.281506
1061,2.16922
1062,0
1063,0.108954
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,3.30661
1071,3.39629
1072,0
1073,0
1074,0
1075,1.09726
1076,0.135007
1077,0.83708
1078,0
1079,2.97155
1080,0
1081,1.01829
1082,0
1083,3.95977
1084,0
1085,0
1086,0
1087,1.41895
1088,0.807171
1089,0
1090,0
1091,0
1092,0
1093,1.5465
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0.682695
1100,0
1101,1.41472
1102,0
1103,0.723267
1104,0.0845673
1105,0.517933
1106,0
1107,1.19967
1108,0
1109,0
1110,0
1111,0.652399
1112,0.661465
1113,0
1114,0
1115,0.39601
1116,3.92396
1117,0
1118,0.721811
1119,2.9057
1120,1.11861
1121,0.356664
1122,0
1123,0
1124,0
1125,0
1126,4.01944
1127,2.6807
1128,0
1129,0
1130,1.53445
1131,2.02573
1132,0
1133,0
1134,0
1135,3.55334
1136,2.43758
1137,1.18774
1138,0
1139,1.76788
1140,0
1141,0
1142,0
1143,0
1144,2.52894
1145,0
1146,0.978139
1147,0.669053
1148,0.0148393
1149,0.660639
1150,2.34056
1151,0
1152,0
1153,1.39485
1154,0
1155,0
1156,3.31945
1157,1.0647
1158,2.6155
1159,0
1160,1.34099
1161,1.16846
1162,1.16374
1163,0
1164,0.960843
1165,0
1166,0
1167,0.186397
1168,0
1169,0.441357
1170,0
1171,0
1172,0.268952
1173,0
1174,1.42667
1175,0.975974
1176,0
1177,0.31059
1178,2.22178
1179,0
1180,1.05979
1181,0
1182,0
1183,0.0977474
1184,2.07602
1185,0
1186,0
1187,0
1188,2.70254
1189,2.10138
1190,0
1191,0
1192,0
1193,0.543599
1194,0.245279
1195,3.09794
1196,0
1197,1.29182
1198,0
1199,0
1200,0.792466
1201,0
1202,3.0945
1203,0
1204,0
1205,1.06503
1206,3.10497
1207,0
1208,0
1209,0
1210,0
1211,1.94499
1212,0
1213,0
1214,0.0326233
1215,0
1216,0
1217,0
1218,0
1219,0.0542326
1220,3.23891
1221,0.0556327
1222,1.34591
1223,0.131182
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0.360448
1231,0
1232,0
1233,0.427428
1234,0
1235,0
1236,0.743858
1237,0.626087
1238,1.57252
1239,2.01191
1240,0.670714
1241,0
1242,0
1243,1.15651
1244,0
1245,1.31403
1246,0
1247,3.52311
1248,0
1249,0
1250,0
1251,0
1252,1.17605
1253,0.211996
1254,0
1255,0
1256,0
1257,0.883733
1258,0
1259,4.16731
1260,0
1261,0
1262,0
1263,0.34303
1264,0
1265,1.09797
1266,3.41663
1267,0
1268,0
1269,1.12305
1270,3.8733
1271,0
1272,0
1273,3.28198
1274,0.514045
1275,0
1276,0.0108438
1277,0.245636
1278,0.089508
1279,1.81532
1280,0
1281,0
1282,0.736062
1283,0
1284,1.57472
1285,2.49681
1286,1.67088
1287,0
1288,2.21409
1289,0
1290,0
1291,0
1292,2.62634
1293,0.274801
1294,0
1295,2.37377
1296,0.569999
1297,4.49742
1298,0.742794
1299,0
1300,1.4634
1301,0
1302,0
1303,2.30315
1304,0
1305,0.0536511
1306,0
1307,3.55444
1308,4.07198
1309,3.08052
1310,0
1311,3.28884
1312,0.714949
1313,2.76931
1314,0
1315,0
1316,2.20899
1317,2.64308
1318,2.47305
1319,0
1320,0
1321,2.27205
1322,0
1323,0
1324,1.69744
1325,0
1326,0
1327,2.46717
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0.994291
1335,2.48281
1336,0
1337,0
1338,0
1339,0
1340,2.56029
1341,0.0721564
1342,0
1343,3.96301
1344,0.0171164
1345,0.665129
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,1.37004
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0.89315
1360,0
1361,2.81435
1362,4.11792
1363,0
1364,2.22811
1365,0
1366,2.07477
1367,0
1368,0
1369,0.80242
1370,0
1371,1.37778
1372,0
1373,0.206821
1374,2.59898
1375,0.525607
1376,0
1377,0.0378058
1378,0
1379,1.12747
1380,0.499258
1381,3.10399
1382,0
1383,1.79298
1384,0
1385,0
1386,0
1387,0.521543
1388,0
1389,0
1390,0.397509
1391,0
1392,2.85629
1393,0.123281
1394,0
1395,0
1396,0
1397,0
1398,4.78709
1399,0
1400,1.00624
1401,1.08226
1402,0
1403,0
1404,0.842345
1405,4.47713
1406,0
1407,2.7007
1408,0
1409,0.642934
1410,0.612366
1411,0
1412,0
1413,0
1414,0
1415,4.06121
1416,1.14326
1417,0
1418,1.23578
1419,1.42933
1420,0
