i,discounted
589,5.74047
590,6.48462
591,5.86317
592,2.51121
593,0
594,2.628
595,0.878292
596,0
597,4.56492
598,0
599,7.49814
600,1.75825
601,0
602,0
603,0
604,0.78729
605,0
606,0
607,0
608,0
609,1.67356
610,0
611,2.19381
612,0
613,2.59147
614,0
615,0
616,2.56732
617,0
618,0
619,1.67254
620,0.875958
621,0
622,0.218366
623,0
624,0
625,0
626,5.154
627,4.4975
628,0
629,0
630,1.11332
631,2.04935
632,0.993281
633,0
634,0
635,0
636,3.90629
637,0
638,6.49673
639,0
640,0
641,0.61588
642,0
643,3.56448
644,6.18908
645,0
646,1.80932
647,0
648,0
649,0
650,0
651,1.27134
652,0
653,0
654,0
655,2.53431
656,0
657,0
658,1.72555
659,0
660,0.535068
661,0
662,2.13285
663,2.43651
664,1.25913
665,0
666,0
667,0.0718303
668,3.46153
669,2.35014
670,0
671,0.031452
672,0
673,4.58763
674,2.9342
675,5.53106
676,0
677,0
678,0
679,0.0921651
680,0
681,0.00964128
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,6.85787
690,1.05882
691,2.18358
692,0
693,0.543732
694,0
695,0.502385
696,0.931087
697,5.38507
698,2.21485
699,3.50927
700,1.34379
701,0
702,0
703,2.57585
704,2.12071
705,2.83657
706,5.31465
707,0
708,0
709,3.63939
710,2.28716
711,0
712,0.907095
713,7.85876
714,4.34022
715,0
716,0
717,0.753982
718,0
719,0.872084
720,4.28799
721,3.99241
722,0
723,0
724,0
725,0
726,2.93977
727,0
728,0
729,0
730,2.10662
731,0
732,3.82586
733,0
734,0
735,1.60983
736,0
737,1.05532
738,1.3115
739,4.29847
740,0.756653
741,0
742,1.48461
743,0
744,0.858533
745,2.97279
746,0
747,2.2383
748,0
749,4.27663
750,0
751,0
752,0.696164
753,7.20838
754,5.95063
755,0.924973
756,0
757,0
758,0
759,3.48597
760,0
761,0
762,1.76238
763,0.999011
764,0
765,0
766,0
767,4.73671
768,0
769,4.4246
770,1.17874
771,0
772,2.65567
773,0
774,0
775,5.72321
776,3.70359
777,0
778,0
779,0
780,0
781,1.03064
782,1.32472
783,3.86698
784,4.06577
785,2.14155
786,2.02483
787,0
788,0.477022
789,0
790,5.99656
791,3.49351
792,0
793,0
794,0.344121
795,3.06327
796,0
797,0.225263
798,0
799,1.00011
800,2.94901
801,2.45489
802,0
803,0
804,0
805,0
806,0.632242
807,0
808,0
809,0
810,1.09387
811,0.556836
812,0
813,0.134026
814,0
815,0
816,4.19962
817,0
818,3.02424
819,0.00540424
820,0.217601
821,0
822,0
823,0.929183
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,2.34258
836,2.03743
837,0
838,0
839,0
840,4.54806
841,0
842,0
843,4.68474
844,2.53556
845,0
846,0
847,2.81046
848,0
849,2.34486
850,0
851,4.19924
852,0
853,0
854,0
855,4.8177
856,0
857,0
858,1.18285
859,0
860,5.49477
861,0
862,0
863,0.579867
864,0
865,0
866,0
867,0
868,0
869,2.52372
870,0
871,0
872,0
873,1.28257
874,0
875,0
876,4.09153
877,1.5799
878,2.8719
879,0
880,0
881,3.01767
882,1.43627
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,2.20057
891,0
892,3.08952
893,0.584322
894,2.3917
895,0
896,0
897,0
898,1.74828
899,1.3815
900,0
901,3.64428
902,1.51969
903,2.20449
904,0
905,0
906,2.53884
907,5.08068
908,1.9797
909,0
910,0
911,4.28865
912,0.378496
913,0
914,0.444163
915,0
916,0
917,0
918,2.55949
919,5.42061
920,1.76982
921,0
922,1.8071
923,5.89409
924,0.218627
925,7.25386
926,0
927,4.78723
928,0
929,1.41366
930,0
931,0.742998
932,4.93971
933,3.95663
934,6.73139
935,1.394
936,0
937,0
938,0
939,0
940,0
941,1.58744
942,0.284939
943,5.27703
944,0
945,1.96216
946,2.47668
947,0
948,0
949,0.212231
950,2.17275
951,0
952,1.50689
953,0
954,4.85468
955,3.34024
956,0
957,0
958,0
959,0
960,2.56445
961,0
962,3.7109
963,0
964,0
965,1.89484
966,6.38494
967,0
968,0
969,6.03646
970,1.23861
971,0
972,3.64836
973,4.22686
974,0
975,0.914649
976,0.408529
977,0
978,0.711232
979,0
980,0
981,3.16948
982,0
983,5.18159
984,2.17452
985,0
986,2.35969
987,0
988,1.27618
989,1.82119
990,0.608127
991,0
992,0
993,1.85065
994,6.89261
995,3.69594
996,0
997,1.84286
998,0
999,0.973567
1000,4.36817
1001,0.698387
1002,0
1003,0
1004,0.806945
1005,0
1006,0
