i,discounted
465,12.4707
466,19.778
467,26.5337
468,11.2701
469,32.6305
470,0
471,35.5188
472,4.36601
473,4.44467
474,24.5602
475,55.4755
476,4.08905
477,31.5783
478,8.2073
479,38.9521
480,20.9912
481,18.3202
482,28.3537
483,37.5803
484,30.8687
485,29.1545
486,10.1648
487,34.8678
488,10.5533
489,11.947
490,11.2208
491,31.3888
492,25.4262
493,35.3529
494,20.1902
495,16.2275
496,21.3952
497,4.17145
498,14.5912
499,24.9417
500,27.049
501,15.6282
502,18.7966
503,26.6371
504,3.6979
505,45.9468
506,5.61094
507,10.3136
508,9.31335
509,0.019871
510,10.8548
511,22.3009
512,10.1011
513,30.154
514,32.2647
515,40.322
516,49.0477
517,7.64108
518,56.6899
519,22.5659
520,25.9527
521,26.9039
522,4.28803
523,25.6571
524,0.839744
525,17.1107
526,6.64107
527,39.0923
528,38.9888
529,13.7531
530,33.0803
531,55.9803
532,23.1361
533,0.129902
534,2.03949
535,21.0142
536,1.99532
537,20.4904
538,9.83737
539,35.4614
540,19.9615
541,32.606
542,11.2226
543,4.26515
544,25.4107
545,32.5901
546,11.8833
547,36.4152
548,5.27903
549,5.50858
550,35.1543
551,4.88201
552,33.7084
553,14.5754
554,19.1934
555,28.3815
556,17.5972
557,16.064
558,42.9085
559,35.4795
560,27.8326
561,34.8435
562,0
563,16.8013
564,39.5063
565,28.3602
566,10.6283
567,14.6278
568,4.93056
569,21.8197
570,5.50496
571,35.5947
572,18.9024
573,9.00626
574,18.9576
575,8.94742
576,26.0898
577,40.0009
578,28.0144
579,31.9106
580,26.3404
581,46.9123
582,24.7839
583,29.995
584,14.606
585,26.1089
586,10.0332
587,40.1719
588,10.844
589,24.1742
590,18.9721
591,11.1451
592,31.2225
593,28.6771
594,10.505
595,0.782931
596,60.9827
597,39.7967
598,26.1949
599,32.3448
600,16.3881
601,26.6856
602,26.8694
603,9.94693
604,6.9755
605,2.2945
606,28.9424
607,44.5726
608,31.3212
609,21.8347
610,30.9853
611,17.3317
612,39.726
613,13.6734
614,9.24802
615,48.5424
616,9.15047
617,45.1891
618,0
619,4.67869
620,3.80926
621,13.895
622,20.132
623,2.14859
624,9.92461
625,17.6478
626,22.501
627,24.2821
628,3.28468
629,9.83591
630,6.05607
631,40.8077
632,10.4908
633,1.74254
634,21.0766
635,8.09115
636,24.9286
637,46.0959
638,19.6562
639,10.1047
640,31.8449
641,17.5232
642,28.8009
643,16.2843
644,2.96459
645,18.113
646,17.9589
647,3.32719
648,21.6076
649,4.20534
650,20.2913
651,20.7511
652,45.8186
653,1.26795
654,14.3209
655,33.0002
656,46.3471
657,6.0549
658,33.1543
659,16.6661
660,11.7412
661,48.5095
662,16.9737
663,13.1983
664,30.6173
665,17.6529
666,28.1395
667,16.1757
668,34.5773
669,1.27194
670,2.11503
671,21.474
672,9.22569
673,30.2628
674,3.22735
675,5.69848
676,17.2179
677,32.218
678,39.0312
679,39.5707
680,20.8901
681,9.30923
682,12.5068
683,1.37868
684,25.5319
685,2.21842
686,22.8472
687,12.1446
688,40.4041
689,28.0205
690,17.5929
691,8.08839
692,10.799
693,28.5856
694,16.0089
695,28.7996
696,14.6187
697,11.9818
698,8.96418
699,30.1669
700,20.4082
701,41.1839
702,7.16744
703,19.583
704,39.6121
705,18.5463
706,24.4937
707,3.40786
708,44.1735
709,41.0283
710,33.3416
711,38.5996
712,18.237
713,0
714,25.9526
715,3.44154
716,19.0798
717,3.82259
718,14.9577
719,31.5489
720,63.2952
721,8.85791
722,23.1448
723,4.33061
724,13.9903
725,10.7879
726,55.6652
727,7.23848
728,20.0431
729,28.2265
730,35.7665
731,33.1893
732,29.4483
733,3.7954
734,41.9903
735,44.2061
736,8.15347
737,6.90541
738,27.3166
739,39.6134
740,32.0102
741,15.2462
742,21.8023
743,0.679932
744,7.60016
745,8.96635
746,15.7055
747,16.2063
748,12.4216
749,31.661
750,18.2722
751,2.13647
752,3.10494
753,42.9956
754,6.37646
755,26.3714
756,33.3575
757,42.56
758,9.70668
759,46.3942
760,5.06879
761,34.8551
762,8.61209
763,21.0424
764,10.673
765,48.7444
766,40.3591
767,18.5869
768,31.4487
769,45.7209
770,28.0686
771,30.5287
772,11.7012
773,5.34165
774,2.20558
775,13.4118
776,35.1357
777,21.356
778,51.7961
779,28.8355
780,8.10942
781,22.3166
782,29.3432
783,0.0668192
784,20.4798
785,3.96266
786,22.0402
787,11.763
788,41.2034
789,13.7083
790,11.5871
791,10.1849
792,11.5858
793,23.2722
794,29.1933
795,38.0452
796,16.5527
797,23.8032
798,16.7624
799,17.1091
800,1.84959
801,50.886
802,32.6687
803,5.09931
804,34.5653
805,5.3003
806,0.245416
807,49.6642
808,6.02126
809,9.04088
810,29.0218
811,56.502
812,30.9049
813,1.61439
814,21.5237
815,19.0294
816,14.4619
817,4.96603
818,11.3231
819,37.5784
820,52.3243
821,4.15342
822,23.3066
823,33.1935
824,28.3806
825,19.4544
826,44.122
827,14.1998
828,52.2617
829,29.9499
830,16.9011
831,23.4239
832,9.24642
833,11.1399
834,9.35756
835,35.3277
836,36.7094
837,28.9469
838,37.1819
839,14.5063
840,19.9995
841,17.4176
842,32.3735
843,8.52371
844,14.1916
845,45.3674
846,32.0289
847,4.9169
848,12.1698
849,5.27166
850,14.1663
851,38.0698
852,4.87914
853,12.8797
854,25.3905
855,23.3946
856,18.5597
857,4.28534
858,37.4389
859,27.6952
860,43.1114
861,1.45959
862,8.60182
863,37.9861
864,3.36853
865,43.9929
866,16.9932
867,0.41512
868,9.42829
869,5.70317
870,22.3946
871,21.8489
872,20.0369
873,13.1102
874,29.1017
875,18.1844
876,46.9142
877,7.17121
878,1.44701
879,6.13487
880,4.65703
881,11.7631
882,59.3501
883,23.7644
884,24.8398
885,40.033
886,20.3529
887,44.3315
888,22.94
889,12.6372
890,36.6537
891,4.814
892,6.63422
893,39.5044
894,8.4558
895,48.1772
896,5.72571
897,26.4223
898,32.8144
899,14.3324
900,9.06347
901,19.4148
902,4.7321
903,3.72904
904,37.469
905,15.6267
906,23.9828
907,21.2804
908,27.7681
909,41.9787
910,0.626324
911,31.3059
912,10.59
913,57.1012
914,18.3138
915,13.4625
916,9.67485
917,6.42647
918,24.3852
919,6.62959
920,35.6731
921,14.6996
922,4.71203
923,3.48989
924,14.4074
925,26.0796
926,13.4884
927,5.54023
928,22.9169
929,14.3137
930,11.8805
931,27.9444
932,10.7346
933,16.3715
934,1.7515
935,4.90773
936,10.4688
937,32.2748
938,12.5209
939,7.62957
940,2.65784
941,32.4645
942,8.78262
943,23.5065
944,41.971
945,8.05932
946,10.3046
947,4.17193
948,54.2329
949,20.6976
950,25.2687
951,17.7186
952,10.3118
953,25.1586
954,25.8595
955,26.772
956,15.528
957,35.5747
958,25.9105
959,44.9212
960,2.2235
961,1.78791
962,33.9211
963,7.19858
964,10.865
965,9.86109
966,32.6755
967,55.8724
968,16.3559
969,16.0999
970,29.2296
971,30.9806
972,29.8807
973,21.7922
974,9.09841
975,7.83482
976,3.66422
977,19.213
978,25.0189
979,18.1598
980,7.80727
981,11.0036
982,4.3016
983,48.6873
984,49.7472
985,7.22844
986,23.9728
987,27.408
988,48.9583
989,31.993
990,31.1023
991,22.9639
992,15.8402
993,9.60675
994,15.0237
995,8.81746
996,18.0365
997,7.27509
998,39.4225
999,16.2297
1000,30.3646
1001,26.3809
1002,23.5418
1003,7.35484
1004,3.19955
1005,7.39125
1006,21.8059
1007,8.68675
1008,3.5159
1009,35.2497
1010,8.12051
1011,6.82078
1012,2.74488
1013,9.71155
1014,23.7621
1015,30.5045
1016,59.9438
1017,53.3892
1018,24.0726
1019,25.1227
1020,17.4934
1021,17.5744
1022,17.8964
1023,61.8999
1024,12.5411
1025,24.1946
1026,3.34934
1027,5.02846
