i,discounted
463,16.5809
464,14.6784
465,38.3561
466,20.2228
467,6.88301
468,31.1122
469,1.17042
470,58.9694
471,31.7629
472,37.74
473,35.436
474,5.19033
475,27.9922
476,88.933
477,1.95746
478,15.8545
479,6.23448
480,43.7358
481,18.0927
482,8.45156
483,0.373615
484,10.9596
485,4.90387
486,17.115
487,2.04486
488,63.1983
489,29.1067
490,43.7853
491,7.01682
492,33.7807
493,1.67726
494,13.1682
495,10.9725
496,6.04999
497,95.7285
498,6.77323
499,29.3403
500,22.4632
501,9.65981
502,13.2117
503,49.41
504,42.2382
505,2.89028
506,89.9266
507,19.8871
508,54.5684
509,55.0176
510,103.116
511,74.7867
512,14.9946
513,7.32622
514,4.76632
515,1.42468
516,12.0193
517,52.639
518,0.12119
519,2.09535
520,17.5781
521,7.80771
522,84.7655
523,45.527
524,52.5753
525,12.6472
526,28.3147
527,10.0242
528,31.7432
529,25.4873
530,11.0961
531,3.16003
532,4.19304
533,45.929
534,26.1358
535,43.5274
536,101.182
537,11.0577
538,123.166
539,6.36047
540,5.81866
541,11.2114
542,26.1236
543,85.347
544,35.6449
545,12.2311
546,35.192
547,2.64367
548,42.6681
549,22.2333
550,10.9771
551,46.7325
552,62.1393
553,17.5324
554,12.2424
555,25.9298
556,62.3498
557,15.2193
558,0.00491981
559,8.90941
560,5.57379
561,3.75339
562,82.4072
563,25.2266
564,3.93821
565,1.75401
566,33.9232
567,8.51092
568,40.5709
569,15.9898
570,23.7562
571,18.8795
572,9.72889
573,69.8865
574,9.7311
575,15.0309
576,50.3697
577,4.23237
578,0.373021
579,12.4958
580,36.9638
581,8.16376
582,31.7942
583,3.53653
584,62.424
585,25.4326
586,20.4038
587,2.56202
588,24.4921
589,6.24586
590,3.63516
591,46.755
592,37.3604
593,5.0754
594,15.3157
595,32.9119
596,2.14024
597,28.8475
598,9.9696
599,5.44916
600,12.0652
601,41.5216
602,14.3212
603,33.2021
604,16.6724
605,33.0997
606,20.0448
607,4.96669
608,16.6369
609,11.251
610,22.0892
611,19.165
612,0.533906
613,60.5848
614,41.4527
615,2.12819
616,33.7993
617,51.3645
618,87.4312
619,25.7196
620,88.8096
621,49.4238
622,34.6943
623,79.8005
624,12.3414
625,9.0482
626,18.0082
627,13.9135
628,38.258
629,31.3136
630,63.9181
631,4.98307
632,77.3679
633,54.5379
634,5.37021
635,34.3164
636,7.6091
637,2.67299
638,7.40024
639,24.9179
640,43.0854
641,23.7395
642,10.067
643,46.2495
644,61.99
645,50.1478
646,20.1499
647,61.2183
648,3.46816
649,49.3136
650,16.7596
651,4.13345
652,2.36363
653,49.7602
654,25.0034
655,12.4299
656,29.2804
657,49.1411
658,1.43268
659,13.5609
660,59.1844
661,2.61793
662,42.8147
663,95.0279
664,0.483989
665,23.7145
666,44.345
667,25.2932
668,2.60064
669,34.2039
670,30.4752
671,11.3277
672,36.0779
673,14.5812
674,36.6622
675,21.7222
676,10.4068
677,1.49495
678,3.354
679,6.08588
680,12.3453
681,17.9915
682,38.4733
683,34.2304
684,40.8588
685,38.0161
686,58.2733
687,17.7877
688,41.9214
689,11.9057
690,11.4362
691,33.6937
692,63.1386
693,56.1545
694,12.2616
695,42.606
696,74.0354
697,28.4291
698,69.823
699,2.03208
700,15.9461
701,0
702,25.4863
703,42.8963
704,1.94911
705,16.3742
706,35.8213
707,31.0842
708,5.75585
709,9.68097
710,0
711,1.62078
712,22.7874
713,44.1627
714,7.27531
715,24.5221
716,2.63142
717,35.9495
718,10.8684
719,0.610806
720,3.8237
721,49.547
722,80.2248
723,35.7451
724,11.9945
725,54.1107
726,0.565742
727,15.662
728,12.1396
729,1.05796
730,6.53279
731,0.902963
732,7.39778
733,78.4262
734,39.5448
735,0.553325
736,79.8345
737,37.935
738,22.4093
739,20.8022
740,0.608207
741,12.8299
742,11.4731
743,30.453
744,68.0174
745,28.7552
746,99.8551
747,25.0888
748,16.833
749,4.74167
750,63.9128
751,48.5163
752,44.255
753,7.30947
754,37.6153
755,9.33642
756,2.98167
757,6.84253
758,34.6129
759,4.71932
760,25.1221
761,0.994058
762,20.7058
763,11.3358
764,20.3059
765,61.8537
766,10.4551
767,40.0002
768,2.0508
769,1.45642
770,2.14301
771,8.11216
772,28.883
773,114.131
774,71.3799
775,18.188
776,5.63362
777,12.1424
778,1.77785
779,22.3072
780,32.3903
781,22.2364
782,8.25356
783,26.8384
784,53.4336
785,30.1343
786,9.76224
787,33.2513
788,4.29398
789,10.073
790,34.4281
791,10.0926
792,28.2846
793,13.1212
794,2.74412
795,10.4787
796,23.9458
797,34.3359
798,16.5369
799,41.5149
800,35.186
801,87.1903
802,0.359826
803,84.3949
804,4.60004
805,25.5274
806,32.2183
807,11.35
808,25.0083
809,58.5588
810,1.3985
811,12.4591
812,4.71189
813,87.9331
814,9.35534
815,12.5458
816,12.6786
817,138.372
818,30.068
819,21.2796
820,1.14989
821,32.0468
822,3.24857
823,2.37877
824,9.98482
825,15.5911
826,32.1889
827,18.0603
828,0.390951
829,1.60387
830,80.8234
831,15.4145
832,17.2465
833,35.5141
834,38.2318
835,20.7772
836,76.0413
837,35.2907
838,3.105
839,69.4396
840,15.598
841,22.6679
842,0.882524
843,40.0865
844,53.9047
845,0.645562
846,9.00093
847,43.4053
848,32.2789
849,70.6267
850,7.62837
851,1.05542
852,35.4378
853,33.3964
854,3.77074
855,11.6591
856,15.2574
857,37.1847
858,5.33919
859,5.52388
860,11.0722
861,24.9925
